,Date,High,Low,Open,Close,Volume,Adj Close,Daily Growth,LabeledY1,LabeledY2,title_score1,abs_score1,title_score2,abs_score2,title_polarity,title_subjectivity,abs_polarity,abs_subjectivity
0,2016-09-26,2158.5400390625,2145.0400390625,2158.5400390625,2146.10009765625,3216170000,2146.10009765625,-0.00576312747557508,-1,-1,0.9508,0.9990000000000001,0.3612,0.9952,0.07000360750360747,0.3964249027808349,0.04104338059601218,0.4137401545822598
1,2016-09-27,2161.1298828125,2141.550048828125,2146.0400390625,2159.929931640625,3437770000,2159.929931640625,0.006472336175140896,1,1,0.9881,0.9976,-0.9761,-0.9717,0.010466634429400393,0.4121253569125908,0.017998511904761903,0.4350996197089947
2,2016-09-28,2172.39990234375,2151.7900390625,2161.85009765625,2171.3701171875,3891460000,2171.3701171875,0.004403644610498685,0,1,-0.9888,0.9942,-0.9806,0.7184,0.06158617424242425,0.3685340007215007,0.05081923127377674,0.4811159211159214
3,2016-09-29,2172.669921875,2145.199951171875,2168.89990234375,2151.1298828125,4249220000,2151.1298828125,-0.008193102647128811,-1,-1,0.9911,0.9987,0.6249,0.9856,0.00976846385937294,0.4156759149940967,0.02539889657208091,0.41960036239365855
4,2016-09-30,2175.300048828125,2156.510009765625,2156.510009765625,2168.27001953125,4173340000,2168.27001953125,0.00545325999525646,0,1,-0.8984,0.9958,-0.9623,0.9417,0.08181398203786264,0.4297160302384183,0.0541967291967292,0.4120348170348172
5,2016-10-03,2164.409912109375,2154.77001953125,2164.330078125,2161.199951171875,3137550000,2161.199951171875,-0.0014462336335669687,0,0,-0.9835,0.9949,-0.9926,-0.9843,0.041356749311294766,0.3504820936639119,0.037695544621010456,0.39602867629265137
6,2016-10-04,2165.4599609375,2144.010009765625,2163.3701171875,2150.489990234375,3750890000,2150.489990234375,-0.0059537324893208145,-1,-1,0.9782,-0.6473,0.9379,-0.9955,0.07206831709956707,0.3770895562770562,0.036084505772005775,0.4202150974025974
7,2016-10-05,2163.949951171875,2155.14990234375,2155.14990234375,2159.72998046875,3906550000,2159.72998046875,0.002125178448153009,0,0,-0.7556,0.9986,-0.9794,0.6486,-0.006671619341110867,0.33128732849071835,0.021652032838473514,0.4546488085047408
8,2016-10-06,2162.929931640625,2150.280029296875,2158.219970703125,2160.77001953125,3461550000,2160.77001953125,0.0011815518634526493,0,0,-0.9891,0.9768,-0.9879,-0.9882,0.06938626188626189,0.3733150183150182,0.013939624205581659,0.4135797757207332
9,2016-10-07,2165.860107421875,2144.85009765625,2164.18994140625,2153.739990234375,3619890000,2153.739990234375,-0.004828573949052189,0,-1,0.8677,0.9935,0.8316,-0.1851,0.07281267217630855,0.3739917355371902,0.060094186765615336,0.4555386724386724
10,2016-10-10,2169.60009765625,2160.389892578125,2160.389892578125,2163.659912109375,2916550000,2163.659912109375,0.0015136247130594035,0,0,-0.9567,0.9832,-0.9432,0.8245,0.05440454545454545,0.3728909090909091,0.02347598184947583,0.4437265946904501
11,2016-10-11,2161.56005859375,2128.840087890625,2161.35009765625,2136.72998046875,3438270000,2136.72998046875,-0.011391082460078007,-1,-1,-0.8435,0.9991,-0.9769,-0.9548,0.05119724817093239,0.37406508695982377,0.0520643003020052,0.45280858940695
12,2016-10-12,2145.360107421875,2132.77001953125,2137.669921875,2139.179931640625,2977100000,2139.179931640625,0.0007063811630471628,0,0,-0.9323,-0.9986,-0.8393,-0.9974,0.06482151446437162,0.4594501133786849,0.034759327973613675,0.4323528367575986
13,2016-10-13,2138.18994140625,2114.719970703125,2130.260009765625,2132.550048828125,3580450000,2132.550048828125,0.0010750044839606008,0,0,-0.9896,-0.9832,-0.9493,-0.966,0.08414146039146038,0.3657832676582677,0.039099567099567085,0.4399217977144808
14,2016-10-14,2149.18994140625,2132.97998046875,2139.679931640625,2132.97998046875,3228150000,2132.97998046875,-0.0031312866344162665,0,-1,0.9488,0.9366,-0.8507,0.1352,0.09509128552606813,0.4084958278436539,0.05315627436745448,0.423355516119491
15,2016-10-17,2135.610107421875,2124.429931640625,2132.949951171875,2126.5,2830390000,2126.5,-0.0030239580484911514,0,-1,-0.9461,0.9984,-0.9772,-0.9459,0.05777545035609551,0.38015617447069056,0.025283752705627698,0.4360360993173494
16,2016-10-18,2144.3798828125,2135.489990234375,2138.31005859375,2139.60009765625,3170000000,2139.60009765625,0.0006032984119002783,0,0,-0.6646,0.9996,-0.9661,0.968,0.04801501860712384,0.38638656299840507,0.06478444698651956,0.4359448683153349
17,2016-10-19,2148.43994140625,2138.14990234375,2140.81005859375,2144.2900390625,3362670000,2144.2900390625,0.0016255437771232825,0,0,0.9593,0.9993,-0.9563,-0.8036,0.039500835421888036,0.35907894736842105,0.04443369874173446,0.4595119959405674
18,2016-10-20,2147.179931640625,2133.43994140625,2142.510009765625,2141.340087890625,3337170000,2141.340087890625,-0.000546051999602084,0,0,-0.5286,0.7945,-0.9944,-0.9984,0.028018347931138637,0.37915030705728375,0.027113318638548,0.4078082773495618
19,2016-10-21,2142.6298828125,2130.090087890625,2139.429931640625,2141.159912109375,3448850000,2141.159912109375,0.0008086174934569425,0,0,0.9911,0.9994,0.9313,0.9826,0.10803060788976282,0.3813282726663008,0.03644603495919285,0.4122424330055909
20,2016-10-24,2154.7900390625,2146.909912109375,2148.5,2151.330078125,3357320000,2151.330078125,0.0013172344077263206,0,0,-0.7673,0.9978,-0.4404,0.9759,0.018950846331798717,0.3911152339723769,0.045843186327561306,0.4052770562770561
21,2016-10-25,2151.43994140625,2141.929931640625,2149.719970703125,2143.159912109375,3751340000,2143.159912109375,-0.0030515875012336385,0,-1,0.8152,0.9993,-0.979,-0.8858,-0.0021018663875806702,0.3956959706959705,0.02386536530545746,0.41863626388972
22,2016-10-26,2145.72998046875,2131.590087890625,2136.969970703125,2139.429931640625,3775200000,2139.429931640625,0.0011511443638539294,0,0,0.9949,0.9991,-0.9737,0.9615,0.0451844583987441,0.3775041625041624,0.03759645097449975,0.4393631747656139
23,2016-10-27,2147.1298828125,2132.52001953125,2144.06005859375,2133.0400390625,4204830000,2133.0400390625,-0.0051397905049720615,0,-1,0.9978,0.9998,0.7579,0.8836,0.04904908459595955,0.4143288352272727,0.039025708768355816,0.4425765533486122
24,2016-10-28,2140.719970703125,2119.360107421875,2132.22998046875,2126.409912109375,4019510000,2126.409912109375,-0.0027295687672938143,0,-1,-0.8836,0.9989,-0.9903,-0.101,0.032207205988456014,0.3823871753246752,0.039436281072879005,0.4506713489832048
25,2016-10-31,2133.25,2125.530029296875,2129.780029296875,2126.14990234375,3922400000,2126.14990234375,-0.0017044609786877613,0,0,-0.6940000000000001,0.9946,0.4404,-0.9909,0.07967646388699018,0.4017358737753474,0.046897955995894136,0.4253120504924631
26,2016-11-01,2131.449951171875,2097.85009765625,2128.679931640625,2111.719970703125,4532160000,2111.719970703125,-0.007967360750391698,-1,-1,-0.983,0.9991,-0.9311,0.9894,0.035178493004579967,0.3898967940272287,0.02576548314172076,0.4459253329179073
27,2016-11-02,2111.760009765625,2094.0,2109.429931640625,2097.93994140625,4248580000,2097.93994140625,-0.005446964633444153,0,-1,-0.7175,0.9975,-0.9901,-0.9953,0.002225501770956315,0.45586608196997797,0.010887009104497884,0.45436205423873605
28,2016-11-03,2102.56005859375,2085.22998046875,2098.800048828125,2088.659912109375,3886740000,2088.659912109375,-0.004831397218811671,0,-1,0.9913,0.9973,-0.818,-0.9499,0.10877005347593582,0.3459982174688057,0.03473425333831424,0.4239178038543521
29,2016-11-04,2099.070068359375,2083.7900390625,2083.7900390625,2085.179931640625,3837860000,2085.179931640625,0.0006670022181074992,0,0,-0.9865,-0.9938,-0.8477,-0.9844,0.04302186858524888,0.4208487287360527,0.046110449735449734,0.4425712081128748
30,2016-11-07,2132.0,2100.590087890625,2100.590087890625,2131.52001953125,3736060000,2131.52001953125,0.014724401404599737,1,1,0.9961,0.9995,0.991,0.991,0.09005791505791506,0.4012387387387388,0.04082256808447285,0.4367089832566024
31,2016-11-08,2146.8701171875,2123.56005859375,2129.919921875,2139.56005859375,3916930000,2139.56005859375,0.004526055942170654,0,1,0.9904,0.9991,-0.8759,-0.9928,0.0814738292011019,0.43670602125147584,0.02974428188090978,0.4222030198483687
32,2016-11-09,2170.10009765625,2125.35009765625,2131.56005859375,2163.260009765625,6264150000,2163.260009765625,0.014871713815461691,1,1,0.9995,0.9999,0.9578,0.9976,0.06090565119634885,0.4519506946541829,0.05782105149752208,0.4628712464006582
33,2016-11-10,2182.300048828125,2151.169921875,2167.489990234375,2167.47998046875,6451640000,2167.47998046875,-4.618136955694833e-06,0,0,0.9975,0.9994,0.7964,0.9894,0.06429760054760053,0.42746364746364746,0.07820191713048856,0.4282102872496962
34,2016-11-11,2165.919921875,2152.489990234375,2162.7099609375,2164.449951171875,4988050000,2164.449951171875,0.0008045416471937558,0,0,0.9634,0.9994,0.9451,0.996,0.11882177570856813,0.3722465898880993,0.10738487752638698,0.4449866590432628
